taxon_oid,Name,IMG_Phylum,IMG_Class,IMG_Order,IMG_Family,IMG_Genus,Institution,Host,Fraction,HostFraction
2636416068,Paenibacillus_sp._CL123,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2521172627,Bacillus_sp._123MFChir2,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2593339197,Paenibacillus_sp._UNC499MF,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2517572209,Bacillus_sp._95MFCvi2.1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221927,Exiguobacterium_sp._Leaf196,Firmicutes,Bacilli,Bacillales,unclassified,Exiguobacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2639762524,Paenibacillus_sp._181MFCol5.1,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2636416069,Paenibacillus_sp._CL130,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2636416071,Paenibacillus_sp._CL6Col,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221735,Bacillus_sp._Root920,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2522125078,Bacillus_sp._278922_107,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2563366513,Paenibacillus_sp._UNCCL52,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2636416070,Paenibacillus_sp._CL141A,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221951,Bacillus_sp._Leaf75,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
