"","Name","Sample","Plate","P1","P2","P3","P4","P5","P6","FullAuc","ScaledAuc"
"51","1787","A3","152001","0.96921122572605","-6.1395740177263","-0.316820020149339","20.688316938827","0.0553412574427101","5.89402256617333","4274516.83679899","26.1646648261089"
"52","1787","A4","152001","0.954280560499746","-4.17476089214202","-0.677017215003462","19.5606983870142","0.0845649838128357","5.02993235426934","54554133.3969654","24.245661621255"
"53","1787","A5","152001","0.969945899494585","-4.34327333372948","-0.525458047919649","18.5083640096262","0.078471417070627","6.42704601931165","31952039.3735292","23.9568096247454"
"54","1787","A6","152001","0.991517257270974","-3.33817878085191","-0.882220056728235","12.7482903624345","0.0950411494421648","7.96700095995168","13958484.5127539","18.5235200440145"
"55","1787","A7","152001","0.958769448944399","-3.36057575635133","-0.924749086654995","19.2466645301537","0.0923614673827932","5.74808553526654","35592249.9779381","24.2223111719634"
"56","1787","A8","152001","0.961306735074283","-3.11229114432608","-0.951913091603672","15.4078374975265","0.10841181703427","5.09679695926714","35714443.2586896","19.4182548929986"
"57","1787","A9","152001","0.955487537288097","-3.42420885635406","-0.920652258283149","15.6732330904865","0.101893177749239","6.83446503606396","20139779.8723965","20.1141301429563"
"58","1787","A10","152001","0.943040257089905","-3.73030145057472","-0.677486206229128","20.7734144688328","0.0981269691411045","5.42422288145977","28404604.8462707","24.1818457632231"
"59","1787","A11","152001","0.966934175132363","-4.10900238820518","-0.547057759023889","21.4995607479645","0.115722668851788","6.13545746833818","26109641.1499531","23.7716880629128"
"60","1787","A12","152001","0.949765533363898","-2.67752075652545","-1.03284416498739","15.6318486272004","0.134718880044279","5.4065529965289","44016247.8672983","18.4916709850682"
"61","133","A1","152001","1.18647245516422","-2.05457762033289","-0.00397002711261195","2.24097764486867","0.0118996108138872","3.13576174800389","133313.535391442","16.4890958230719"
"62","133","A2","152001","1.3869556494161","-4.93693070901368","-0.00275067875823934","26.5603055488746","0.00395431483350796","2.47231381831009","146781.500304534","25.2365764396815"
"63","133","A3","152001","1.44924921905184","-5.0548125332983","-0.00210378970790257","25.5022596530279","6.24048304226441e-06","2.66245397027033","134944.669245415","26.669025342238"
